indice;data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3;turno
993;07/02/2020;19:02:00;SEM VÍTIMA;FINALIZADA;VÁRZEA;AV AFONSO OLINDENSE;;AV CAXANGA;;VÁRZEA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;30 km/h;Dupla;Faixa contínua;;;Noite
994;07/02/2020;20:39:00;SEM VÍTIMA;FINALIZADA;TORRE;RUA MARQUES DE MARICA;187;;;TORRE;;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;;;Dupla;Faixa seccionada;;;Noite
995;07/02/2020;20:44:00;SEM VÍTIMA;FINALIZADA;TEJIPIÓ;AV DR JOSE RUFINO;;RUA DO SANCHO;ESTAÇÃO DE METRO TEJIPIO;TEJIPIÓ;434.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Faixa contínua;;;Noite
996;07/02/2020;21:28:00;SEM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;RUA AMAURI DE MEDEIROS;;DERBY;;;COLISÃO TRASEIRA;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;Canal;;;Noite
997;07/02/2020;22:22:00;SEM VÍTIMA;FINALIZADA;CASA FORTE;AV FLOR DE SANTANA;357;AV DEZESSETE DE AGOSTO;BURGUER KING;CASA FORTE;614.0;;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Faixa seccionada;;;Noite
998;07/02/2020;23:42:00;SEM VÍTIMA;FINALIZADA;ÁGUA FRIA;RUA GUARUJA;;;E/F AO ESPETINHO DO BEU;ÁGUA FRIA;;CIDADE;CHOQUE VEÍCULO PARADO;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;;Noite
999;08/02/2020;06:34:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA CAPITAO ZUZINHA;400;RUA RIO AZUL;GALERIA RIO AZUL// RESTAURANTE MARINHOS BAR;BOA VIAGEM;;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;;;Única;Não existe;;;Manhã
1000;08/02/2020;08:22:00;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;1470;;EM FRENTE AO POSTO BR;IPSEP;;AEROPORTO;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;60 km/h;Dupla;Canteiro central;;;Manhã
1001;08/02/2020;09:08:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DOS NAVEGANTES;3672;;;BOA VIAGEM;;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Não existe;;;Manhã
1002;08/02/2020;09:09:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV FERNANDO SIMOES BARBOSA;22;;GALERIA SANTO ANTONIO;BOA VIAGEM;321.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Outros;R-6a;;Dupla;Faixa seccionada;Canal;;Manhã
1003;08/02/2020;09:49:00;SEM VÍTIMA;FINALIZADA;AFOGADOS;EST DOS REMEDIOS;1988;RUA PADRE GABRIEL MOUSINHO;AO LADO HC PNEUS;AFOGADOS;;CIDADE;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Placas Pare;60 km/h;Única;Faixa contínua;;;Manhã
1004;08/02/2020;10:36:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV PREFEITO ARTUR LIMA CAVALCANTI;;RUA DONA LEONOR PORTO;EM FRENTE A PRAÇA OMZE DE JUNHO;SANTO AMARO;;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;;Manhã
1005;08/02/2020;10:57:00;COM VÍTIMA;FINALIZADA;ALTO JOSÉ BONIFÁCIO;RUA ALTO JOSE BONIFACIO;152;;PRÓX. A RODINHA;ALTO JOSÉ BONIFÁCIO;;SUBURBIO;ABALROAMENTO LONGITUDINAL;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Incompleta;Seca;;Não existe;Não há placas;;Dupla;Não existe;;;Manhã
1006;08/02/2020;11:25:00;COM VÍTIMA;FINALIZADA;PARNAMIRIM;RUA TITO ROSAS;;AV PARNAMIRIM;;PARNAMIRIM;10.0;;ATROPELAMENTO;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;40 km/h;Única;Faixa seccionada;;;Manhã
1007;08/02/2020;11:27:00;SEM VÍTIMA;FINALIZADA;CASA FORTE;PRC RADIO JORNAL DO COMERCIO;;;AO LADO DO SHOPPING PLAZA;CASA FORTE;345.0;SUBURBIO;COLISÃO TRASEIRA;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;Faixa seccionada;;Manhã
1008;08/02/2020;11:33:00;SEM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;;AV RECIFE;EM FRENTE AO SEMÁFORO 620;AREIAS;620.0;SUBURBIO;COLISÃO TRASEIRA;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;;Manhã
1009;08/02/2020;11:37:00;SEM VÍTIMA;FINALIZADA;CIDADE UNIVERSITÁRIA;AV CAXANGA;4435;;CHURRASCARIA BOI E BRASA;CIDADE UNIVERSITÁRIA;230.0;CIDADE;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-26;;Dupla;Canteiro central;;;Manhã
1010;08/02/2020;12:30:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV BOA VIAGEM;2234;RUA HENRIQUE CAPITULINO;EDF. VILA AZUL;BOA VIAGEM;663.0;CIDADE;COLISÃO TRASEIRA;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Faixa contínua;;;Tarde
1011;08/02/2020;13:38:00;SEM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA QUARENTA E OITO;;RUA CONS PORTELA;;ESPINHEIRO;11.0;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Faixa seccionada;;;Tarde
1012;08/02/2020;13:43:00;SEM VÍTIMA;FINALIZADA;CASA AMARELA;AV NORTE;;;EM FRENTE A ESCOLA DE REFERÊNCIA DE ENSINO MÉDIO CLOTILDE;CASA AMARELA;;;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;;;;Tarde
1013;08/02/2020;14:54:00;SEM VÍTIMA;FINALIZADA;ESTÂNCIA;AV RECIFE;;;EM FRENTE AO SEMÁFORO Nº 261;ESTÂNCIA;261.0;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;;Tarde
1014;08/02/2020;14:56:00;SEM VÍTIMA;FINALIZADA;IBURA;AV DOIS RIOS;;RUA RIO XINGU;POSTO DE COMBUSTÍVEL BR;IBURA;351.0;CIDADE;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa contínua;;;Tarde
1015;08/02/2020;16:12:00;SEM VÍTIMA;FINALIZADA;DOIS IRMÃOS;RUA DOIS IRMAOS;1082;;EM FRENTE A COMPESA- PROX. A PRAÇA FARIA NEVES;DOIS IRMÃOS;;SUBURBIO;COLISÃO;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Outras;;Dupla;Faixa contínua;;;Tarde
1016;08/02/2020;16:28:00;SEM VÍTIMA;FINALIZADA;SANTANA;RUA SANTANA;470;RUA LEOPOLDINO SILVA;AO LADO DO Nº 459;SANTANA;;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;30 km/h;Dupla;;;;Tarde
1017;08/02/2020;22:54:00;SEM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;AV MARTINS DE BARROS;;;LADO OPOSTO AO TERMINAL CAIS DE SANTA RITA;SANTO ANTÔNIO;;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;;Noite
1018;09/02/2020;00:55:00;SEM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;AV GUARARAPES;120;;EDF. CONDE DA BOA VISTA;SANTO ANTÔNIO;;SUBURBIO;CHOQUE VEÍCULO PARADO;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa seccionada;Canteiro central;;Madrugada
1019;09/02/2020;02:51:00;SEM VÍTIMA;FINALIZADA;DERBY;PRC DO DERBY;115;;MEDICINA NUCLEAR CEMUPE;DERBY;;CIDADE;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa seccionada;;;Madrugada
1020;09/02/2020;12:30:00;SEM VÍTIMA;FINALIZADA;VÁRZEA;AV AFONSO OLINDENSE;890;;;VÁRZEA;;SUBURBIO;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;40 km/h;Dupla;Faixa contínua;;;Tarde
1021;09/02/2020;15:14:00;SEM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;3335;;;IPSEP;;;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Canteiro central;;;Tarde
1022;09/02/2020;16:27:00;SEM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;AV MARTINS DE BARROS;;PTE BUARQUE DE MACEDO;POSTE Nº H 037103 ( AO LADO );SANTO ANTÔNIO;164.0;;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa seccionada;;;Tarde
1023;09/02/2020;16:44:00;SEM VÍTIMA;FINALIZADA;NOVA DESCOBERTA;RUA CORREGO DO JOAQUIM;720;;OPOSTO AO Nº 720;NOVA DESCOBERTA;;CIDADE;CHOQUE VEÍCULO PARADO;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;;Não existe;;;Tarde
1024;09/02/2020;17:34:00;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;652;;LADO OPOSTO A FALCAO EQUIPADORA /SENTIDO CEASA;IPSEP;;CIDADE;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Faixa seccionada;;;Tarde
1025;09/02/2020;18:16:00;SEM VÍTIMA;FINALIZADA;TORRE;RUA MARQUES DE MARICA;;RUA SOUZA BANDEIRA;;TORRE;317.0;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Ilegível;Seca;Mal iluminada;Faixa de pedestre;Não há placas;;Dupla;Não existe;;;Noite
1026;09/02/2020;19:40:00;COM VÍTIMA;FINALIZADA;SAN MARTIN;AV CONSUL VILARES FRAGOSO;380;RUA ITAPEMIRIM;POR TRAS DA CAVALERIA;SAN MARTIN;;CIDADE;COLISÃO FRONTAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Cruzamento;Bom;Não existe;Não existente;Seca;Mal iluminada;Não existe;R-6a;;Dupla;Não existe;;;Noite
1027;09/02/2020;20:37:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV MARECHAL MASCARENHAS DE MORAES;;;LADO OPOSTO A ANAC;BOA VIAGEM;625.0;SUBURBIO;CHOQUE OBJETO FIXO;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;;;Noite
1028;09/02/2020;21:08:00;COM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;675;RUA LAURINDO COELHO;ENF. AO BANCO ITAU;CASA FORTE;;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Esquina;Bom;Não existe;Ilegível;Seca;Mal iluminada;Não existe;Não há placas;;Dupla;Faixa seccionada;;;Noite
1029;09/02/2020;22:12:00;SEM VÍTIMA;FINALIZADA;VÁRZEA;RUA AMARO GOMES POROCA;252;;BRAZETUS ( VÁRZEA );VÁRZEA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;;Noite
1030;10/02/2020;05:56:00;COM VÍTIMA;FINALIZADA;ILHA DO LEITE;AV GOVERNADOR AGAMENON MAGALHAES;;RUA PAISSANDU;NO CRUZAMENTO;ILHA DO LEITE;69.0;SUBURBIO;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Canteiro central;;;Madrugada
1031;10/02/2020;06:14:00;SEM VÍTIMA;FINALIZADA;ÁGUA FRIA;RUA SAO BENTO;;EST VELHA DE AGUA FRIA;POSTO PNB NORTE BRAZ;ÁGUA FRIA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;;;Dupla;Faixa contínua;Blocos;;Manhã
1032;10/02/2020;07:52:00;COM VÍTIMA;FINALIZADA;JAQUEIRA;RUA SIMAO MENDES;92;RUA FLORIANOPOLIS;EM FRENTE AO EDF MAIRIYARAS VILLAGE;JAQUEIRA;;CIDADE;ABALROAMENTO TRANSVERSAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Esquina;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;;Manhã
1033;10/02/2020;08:09:00;COM VÍTIMA;FINALIZADA;MADALENA;RUA BENFICA;929;;;MADALENA;;CIDADE;COLISÃO COM CICLISTA;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;;;Manhã
1034;10/02/2020;08:33:00;SEM VÍTIMA;FINALIZADA;ENCRUZILHADA;AV BEBERIBE;;;LADO OPOSTO AO Nº 376 - GALERIA CAMPOS;ENCRUZILHADA;238.0;CIDADE;COLISÃO TRASEIRA;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-4a;;Dupla;Faixa seccionada;;;Manhã
1035;10/02/2020;08:47:00;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE;7051;;50 M DO POSTO DE COMBUSTÍBEL SOLAR;MACAXEIRA;;CIDADE;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;;Manhã
1036;10/02/2020;08:50:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;1229;;OPOSTO AO BIG BOMPREÇO;BOA VIAGEM;;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Faixa seccionada;Canteiro central;;Manhã
1037;10/02/2020;09:26:00;COM VÍTIMA;FINALIZADA;PINA;AV ANTONIO DE GOES;260;;EM FRENTE À SAMSUNG;PINA;103.0;CIDADE;ATROPELAMENTO;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Não há placas;60 km/h;Única;Faixa seccionada;;;Manhã
1038;10/02/2020;09:33:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;RUA DA AURORA;371;RUA DO RIACHUELO;;BOA VISTA;579.0;;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Outras;;Única;Faixa seccionada;;;Manhã
1039;10/02/2020;09:49:00;SEM VÍTIMA;FINALIZADA;MADALENA;AV CAXANGA;50;;CELPE;MADALENA;263.0;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa seccionada;Canteiro central;;Manhã
1040;10/02/2020;10:01:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;RUA JOAO FERNANDES VIEIRA;711;;FARMACIA PERMANENTE;BOA VISTA;;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Única;Não existe;;;Manhã
1041;10/02/2020;10:15:00;COM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;784;RUA SAMUEL FARIAS;EM FRENTE A 7ª REGIONAL DO EXERCITO;CASA FORTE;;CIDADE;ABALROAMENTO LONGITUDINAL;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;;;Manhã
1042;10/02/2020;11:26:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;RUA JOAQUIM BANDEIRA;268;AV SUL;;IMBIRIBEIRA;;;ABALROAMENTO TRANSVERSAL;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Placas Pare;40 km/h;Única;Faixa seccionada;;;Manhã
1043;10/02/2020;12:26:00;COM VÍTIMA;FINALIZADA;SÃO JOSÉ;RUA IMPERIAL;;;EM BAIXO DO VIADUTO CAPITÃO TEMUDO;SÃO JOSÉ;;;COLISÃO TRASEIRA;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;Não há placas;40 km/h;Única;Faixa;;;Tarde
1044;10/02/2020;12:28:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;4746;;;IMBIRIBEIRA;;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;Não há placas;60 km/h;;Faixa contínua;;;Tarde
1045;10/02/2020;13:04:00;COM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;73;;SENTIDO BOA VIAGEM - OLINDA;DERBY;75.0;OLINDA;COLISÃO TRASEIRA;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;Faixa seccionada;;;Tarde
1046;10/02/2020;13:08:00;SEM VÍTIMA;FINALIZADA;DERBY;RUA JENER DE SOUZA;;;E/F AO QUARTEL DO DERBY;DERBY;;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;;40 km/h;Dupla;Canteiro central;;;Tarde
1047;10/02/2020;14:14:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV CONSELHEIRO AGUIAR;1350;RUA JORNALISTA ADETH LEITE;;BOA VIAGEM;;CIDADE;CHOQUE OBJETO FIXO;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Faixa seccionada;;;Tarde
1048;10/02/2020;14:32:00;SEM VÍTIMA;FINALIZADA;SAN MARTIN;AV JOAO CABRAL DE MELO NETO;2702;RUA TENENTE MINDELO;PRÓXIMO A CASA DA COMUNIDADE;SAN MARTIN;;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;;;;Tarde
1049;10/02/2020;14:37:00;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV DR JAYME DA FONTE;320;;EM FRENTE A ASSEMBLEIAS DE DEUS/ SENTIDO AGAMENON;SANTO AMARO;;;ATROPELAMENTO;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Outras;40 km/h;;Canteiro central;;;Tarde
1050;10/02/2020;15:29:00;SEM VÍTIMA;FINALIZADA;PINA;AV HERCULANO BANDEIRA;563;;TABELIONATO FIGUEIREDO;PINA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Única;Faixa contínua;;;Tarde
1051;10/02/2020;15:33:00;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE;;;GIRADOR DA MACAXEIRA - SENTIDO INTEGRAÇÃO;MACAXEIRA;;SUBURBIO;COLISÃO TRASEIRA;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;;Seca;Perfeito estado;Não existe;Não há placas;;Única;Não existe;;;Tarde
1052;10/02/2020;16:08:00;SEM VÍTIMA;FINALIZADA;ESPINHEIRO;AV GOVERNADOR AGAMENON MAGALHAES;;;EM FRENTE AO Nº 2936 - VIA PRINCIPAL;ESPINHEIRO;;;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Dupla;Faixa seccionada;Canal;;Tarde
